From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)
IFIT3	O14879	reviewed	IFIT3_HUMAN	Interferon-induced protein with tetratricopeptide repeats 3 (IFIT-3) (CIG49) (ISG-60) (Interferon-induced 60 kDa protein) (IFI-60K) (Interferon-induced protein with tetratricopeptide repeats 4) (IFIT-4) (Retinoic acid-induced gene G protein) (P60) (RIG-G)	IFIT3 CIG-49 IFI60 IFIT4 ISG60	Homo sapiens (Human)	490	IFIT3
DDX58	O95786	reviewed	RIGI_HUMAN	Antiviral innate immune response receptor RIG-I (ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (RNA sensor RIG-I) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)	RIGI DDX58	Homo sapiens (Human)	925	RIGI
OAS1	P00973	reviewed	OAS1_HUMAN	2'-5'-oligoadenylate synthase 1 ((2-5')oligo(A) synthase 1) (2-5A synthase 1) (EC 2.7.7.84) (E18/E16) (p46/p42 OAS)	OAS1 OIAS	Homo sapiens (Human)	400	OAS1
CD74	P04233	reviewed	HG2A_HUMAN	HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (CD antigen CD74) [Cleaved into: Class-II-associated invariant chain peptide (CLIP)]	CD74 DHLAG	Homo sapiens (Human)	296	CD74
ISG15	P05161	reviewed	ISG15_HUMAN	Ubiquitin-like protein ISG15 (Interferon-induced 15 kDa protein) (Interferon-induced 17 kDa protein) (IP17) (Ubiquitin cross-reactive protein) (hUCRP)	ISG15 G1P2 UCRP	Homo sapiens (Human)	165	ISG15
G1P3	P09912	reviewed	IFI6_HUMAN	Interferon alpha-inducible protein 6 (Interferon-induced protein 6-16) (Ifi-6-16)	IFI6 G1P3	Homo sapiens (Human)	130	IFI6
IFIT2	P09913	reviewed	IFIT2_HUMAN	Interferon-induced protein with tetratricopeptide repeats 2 (IFIT-2) (ISG-54 K) (Interferon-induced 54 kDa protein) (IFI-54K) (P54)	IFIT2 CIG-42 G10P2 IFI54 ISG54	Homo sapiens (Human)	472	IFIT2
IFIT1	P09914	reviewed	IFIT1_HUMAN	Interferon-induced protein with tetratricopeptide repeats 1 (IFIT-1) (Interferon-induced 56 kDa protein) (IFI-56K) (P56)	IFIT1 G10P1 IFI56 IFNAI1 ISG56	Homo sapiens (Human)	478	IFIT1
IRF1	P10914	reviewed	IRF1_HUMAN	Interferon regulatory factor 1 (IRF-1)	IRF1	Homo sapiens (Human)	325	IRF1
IFITM1	P13164	reviewed	IFM1_HUMAN	Interferon-induced transmembrane protein 1 (Dispanin subfamily A member 2a) (DSPA2a) (Interferon-induced protein 17) (Interferon-inducible protein 9-27) (Leu-13 antigen) (CD antigen CD225)	IFITM1 CD225 IFI17	Homo sapiens (Human)	125	IFITM1
EIF2AK2	P19525	reviewed	E2AK2_HUMAN	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	EIF2AK2 PKR PRKR	Homo sapiens (Human)	551	EIF2AK2
MX1	P20591	reviewed	MX1_HUMAN	Interferon-induced GTP-binding protein Mx1 (Interferon-induced protein p78) (IFI-78K) (Interferon-regulated resistance GTP-binding protein MxA) (Myxoma resistance protein 1) (Myxovirus resistance protein 1) [Cleaved into: Interferon-induced GTP-binding protein Mx1, N-terminally processed]	MX1	Homo sapiens (Human)	662	MX1
MX2	P20592	reviewed	MX2_HUMAN	Interferon-induced GTP-binding protein Mx2 (Interferon-regulated resistance GTP-binding protein MxB) (Myxovirus resistance protein 2) (p78-related protein)	MX2	Homo sapiens (Human)	715	MX2
PML	P29590	reviewed	PML_HUMAN	Protein PML (E3 SUMO-protein ligase PML) (EC 2.3.2.-) (Promyelocytic leukemia protein) (RING finger protein 71) (RING-type E3 SUMO transferase PML) (Tripartite motif-containing protein 19) (TRIM19)	PML MYL PP8675 RNF71 TRIM19	Homo sapiens (Human)	882	PML
OAS2	P29728	reviewed	OAS2_HUMAN	2'-5'-oligoadenylate synthase 2 ((2-5')oligo(A) synthase 2) (2-5A synthase 2) (EC 2.7.7.84) (p69 OAS / p71 OAS) (p69OAS / p71OAS)	OAS2	Homo sapiens (Human)	719	OAS2
APOBEC3A	P31941	reviewed	ABC3A_HUMAN	DNA dC->dU-editing enzyme APOBEC-3A (A3A) (EC 3.5.4.38) (Phorbolin-1)	APOBEC3A	Homo sapiens (Human)	199	APOBEC3A
GBP1	P32455	reviewed	GBP1_HUMAN	Guanylate-binding protein 1 (EC 3.6.5.-) (GTP-binding protein 1) (GBP-1) (HuGBP-1) (Guanine nucleotide-binding protein 1) (Interferon-induced guanylate-binding protein 1)	GBP1	Homo sapiens (Human)	592	GBP1
GBP2	P32456	reviewed	GBP2_HUMAN	Guanylate-binding protein 2 (EC 3.6.5.-) (GTP-binding protein 2) (GBP-2) (HuGBP-2) (Guanine nucleotide-binding protein 2) (Interferon-induced guanylate-binding protein 2)	GBP2	Homo sapiens (Human)	591	GBP2
NAMPT	P43490	reviewed	NAMPT_HUMAN	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin)	NAMPT PBEF PBEF1	Homo sapiens (Human)	491	NAMPT
ADAR	P55265	reviewed	DSRAD_HUMAN	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)	ADAR ADAR1 DSRAD G1P1 IFI4	Homo sapiens (Human)	1226	ADAR
IFITM3	Q01628	reviewed	IFM3_HUMAN	Interferon-induced transmembrane protein 3 (Dispanin subfamily A member 2b) (DSPA2b) (Interferon-inducible protein 1-8U)	IFITM3	Homo sapiens (Human)	133	IFITM3
IFITM2	Q01629	reviewed	IFM2_HUMAN	Interferon-induced transmembrane protein 2 (Dispanin subfamily A member 2c) (DSPA2c) (Interferon-inducible protein 1-8D)	IFITM2	Homo sapiens (Human)	132	IFITM2
BST2	Q10589	reviewed	BST2_HUMAN	Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (Tetherin) (CD antigen CD317)	BST2	Homo sapiens (Human)	180	BST2
IFIT5	Q13325	reviewed	IFIT5_HUMAN	Interferon-induced protein with tetratricopeptide repeats 5 (IFIT-5) (Interferon-induced 58 kDa protein) (Retinoic acid- and interferon-inducible 58 kDa protein) (P58)	IFIT5 ISG58 RI58	Homo sapiens (Human)	482	IFIT5
TRIM25	Q14258	reviewed	TRI25_HUMAN	E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)	TRIM25 EFP RNF147 ZNF147	Homo sapiens (Human)	630	TRIM25
P2RY6	Q15077	reviewed	P2RY6_HUMAN	P2Y purinoceptor 6 (P2Y6)	P2RY6 PP2891	Homo sapiens (Human)	328	P2RY6
OASL	Q15646	reviewed	OASL_HUMAN	2'-5'-oligoadenylate synthase-like protein (2'-5'-OAS-related protein) (2'-5'-OAS-RP) (59 kDa 2'-5'-oligoadenylate synthase-like protein) (Thyroid receptor-interacting protein 14) (TR-interacting protein 14) (TRIP-14) (p59 OASL) (p59OASL)	OASL TRIP14	Homo sapiens (Human)	514	OASL
IFI16	Q16666	reviewed	IF16_HUMAN	Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	IFI16 IFNGIP1	Homo sapiens (Human)	785	IFI16
IFI44L	Q53G44	reviewed	IF44L_HUMAN	Interferon-induced protein 44-like	IFI44L C1orf29 GS3686	Homo sapiens (Human)	452	IFI44L
APOBEC3H	Q6NTF7	reviewed	ABC3H_HUMAN	DNA dC->dU-editing enzyme APOBEC-3H (EC 3.5.4.38) (APOBEC-related protein 10) (ARP-10) (Apolipoprotein B mRNA-editing enzyme catalytic polypeptide-like 3H) (A3H)	APOBEC3H	Homo sapiens (Human)	200	APOBEC3H
ZC3HAV1	Q7Z2W4	reviewed	ZCCHV_HUMAN	Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Inactive Poly [ADP-ribose] polymerase 13) (PARP13) (Zinc finger CCCH domain-containing protein 2) (Zinc finger antiviral protein) (ZAP)	ZC3HAV1 ZC3HDC2 PRO1677	Homo sapiens (Human)	902	ZC3HAV1
APOBEC3F	Q8IUX4	reviewed	ABC3F_HUMAN	DNA dC->dU-editing enzyme APOBEC-3F (EC 3.5.4.38) (Apolipoprotein B mRNA-editing enzyme catalytic polypeptide-like 3F) (A3F)	APOBEC3F	Homo sapiens (Human)	373	APOBEC3F
DDX60	Q8IY21	reviewed	DDX60_HUMAN	Probable ATP-dependent RNA helicase DDX60 (EC 3.6.4.13) (DEAD box protein 60)	DDX60	Homo sapiens (Human)	1712	DDX60
SLC15A3	Q8IY34	reviewed	S15A3_HUMAN	Solute carrier family 15 member 3 (Osteoclast transporter) (Peptide transporter 3) (Peptide/histidine transporter 2)	SLC15A3 OCTP PHT2 PTR3	Homo sapiens (Human)	581	SLC15A3
C6orf150	Q8N884	reviewed	CGAS_HUMAN	Cyclic GMP-AMP synthase (cGAMP synthase) (cGAS) (h-cGAS) (EC 2.7.7.86) (2'3'-cGAMP synthase) (Mab-21 domain-containing protein 1)	CGAS C6orf150 MB21D1	Homo sapiens (Human)	522	CGAS
RSAD2	Q8WXG1	reviewed	RSAD2_HUMAN	S-adenosylmethionine-dependent nucleotide dehydratase RSAD2 (SAND) (EC 4.2.-.-) (Cytomegalovirus-induced gene 5 protein) (Radical S-adenosyl methionine domain-containing protein 2) (Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible) (Viperin)	RSAD2 CIG5	Homo sapiens (Human)	361	RSAD2
IRF7	Q92985	reviewed	IRF7_HUMAN	Interferon regulatory factor 7 (IRF-7)	IRF7	Homo sapiens (Human)	503	IRF7
SLC25A28	Q96A46	reviewed	MFRN2_HUMAN	Mitoferrin-2 (Mitochondrial RNA-splicing protein 3/4 homolog) (MRS3/4) (hMRS3/4) (Mitochondrial iron transporter 2) (Solute carrier family 25 member 28)	SLC25A28 MFRN2 NPD016	Homo sapiens (Human)	364	SLC25A28
APOBEC3D	Q96AK3	reviewed	ABC3D_HUMAN	DNA dC->dU-editing enzyme APOBEC-3D (A3D) (A3DE) (EC 3.5.4.38)	APOBEC3D APOBEC3DE	Homo sapiens (Human)	386	APOBEC3D
ISG20	Q96AZ6	reviewed	ISG20_HUMAN	Interferon-stimulated gene 20 kDa protein (EC 3.1.13.1) (Estrogen-regulated transcript 45 protein) (Promyelocytic leukemia nuclear body-associated protein ISG20)	ISG20 HEM45	Homo sapiens (Human)	181	ISG20
RTP4	Q96DX8	reviewed	RTP4_HUMAN	Receptor-transporting protein 4 (28 kDa interferon-responsive protein) (3CxxC-type zinc finger protein 4)	RTP4 IFRG28 Z3CXXC4	Homo sapiens (Human)	246	RTP4
MS4A4A	Q96JQ5	reviewed	M4A4A_HUMAN	Membrane-spanning 4-domains subfamily A member 4A (CD20 antigen-like 1) (Four-span transmembrane protein 1)	MS4A4A 4SPAN1 CD20L1 MS4A4 HDCME31P	Homo sapiens (Human)	239	MS4A4A
